,species,corr_pc1,corr_pc2,effect_size,mean_abundance,p_value,pre,post,going_through
97,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_gingivalis,,,9.34243650744114e-06,1.999354116378454e-06,,9.34243650744114e-06,0.0,0.0
98,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter|s__Aggregatibacter_aphrophilus,,,,0.0,,0.0,,
99,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Eikenella|s__Eikenella_corrodens,-0.017273974882634113,0.03363879319249801,4.678888246645449e-07,2.544145484113463e-07,0.6573489797619034,0.0,4.678888246645449e-07,0.0
100,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Selenomonas|s__Selenomonas_flueggei,,,,0.0,,0.0,,
101,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_sp_oral_taxon_014,,,,0.0,,0.0,,
102,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_anginosus_group,-1.1060817140034174e-06,0.053685611632155385,0.0002343596856882868,0.00011508751545421308,0.7869028335768964,0.0002587192568976354,3.2281980675663456e-05,2.435957120934861e-05
103,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp_F0442,-0.016185896706506525,0.03932472195630555,2.0963818087706594e-06,2.023891391622523e-06,0.19822900055004747,1.347796846964389e-06,2.7094252872425146e-06,6.130434784718551e-07
104,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_fusca,,,,0.0,,0.0,,
105,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_gasseri,0.00911880903677596,0.021770971091726425,0.00013012945813086556,7.552489152650104e-05,0.05479859011343401,0.00013012945813086556,5.0647639247345966e-05,0.0
106,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp_oral_taxon_056,,,,0.0,,0.0,,
107,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_endodontalis,,,,0.0,,0.0,,
108,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_intermedia,,,,0.0,,0.0,,
109,k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_hofstadii,,,,0.0,,0.0,,
110,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium_asaccharolyticum,,,,0.0,,0.0,,
111,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_stomatis,-0.010774218904371276,0.010846655137045086,4.820625816842226e-06,2.6212152879079605e-06,0.4309725818749265,0.0,4.820625816842226e-06,0.0
112,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_canoris,,,,0.0,,0.0,,
113,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Eikenella|s__Eikenella_sp_NML130454,,,,0.0,,0.0,,
114,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_leadbetteri,,,,0.0,,0.0,,
115,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_paragasseri,-0.01915792641491119,0.0022293443044559694,0.0004726613555953105,0.0001925687646430597,0.7024067931375314,0.0004781968788910744,2.896424324339617e-05,5.535523295763902e-06
116,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia|s__Abiotrophia_defectiva,,,,0.0,,0.0,,
117,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_infirmum,,,,0.0,,0.0,,
118,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_catoniae,,,,0.0,,0.0,,
119,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_matruchotii,,,,0.0,,0.0,,
120,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp_HMSC071D03,0.038617915907059125,0.028117669029932377,3.442712087502652e-07,2.1628575361276562e-07,0.1937742492317051,0.0,3.442712087502652e-07,3.3243752976924463e-07
121,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_fermentum,-0.000683571274168359,0.04961807755172778,0.00011672710543287366,6.136735204918276e-05,0.45181342846733963,0.00011795551936326698,3.266899874035613e-05,1.228413930393321e-06
122,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_peroris,,,,0.0,,0.0,,
123,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_epidermidis,,,,6.040277782460488e-06,,6.040277782460488e-06,,
124,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_hominis,,,,2.371019973021906e-06,,2.371019973021906e-06,,
